Case ID,Activity,Resource,Complete Timestamp,Worker ID,original_index,End Time
Case 1,Turning & Milling,Machine 4,2012/01/30 05:43:00.000,ID4932,0,2012/01/30 05:43
Case 1,Turning & Milling,Machine 4,2012/01/30 06:42:00.000,ID4932,1,2012/01/30 06:42
Case 1,Turning & Milling,Machine 4,2012/01/30 07:21:00.000,ID4167,2,2012/01/30 07:21
Case 1,Turning & Milling,Machine 4,2012/01/30 10:58:00.000,ID4167,3,2012/01/30 10:58
Case 1,Laser Marking,Machine 7,2012/02/01 08:27:00.000,ID0998,5,2012/02/01 08:27
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,6,2012/02/14 01:15
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,7,2012/02/14 01:15
Case 1,Lapping,Machine 1,2012/02/14 10:20:00.000,ID4882,8,2012/02/14 10:20
Case 1,Lapping,Machine 1,2012/02/14 09:38:00.000,ID4882,9,2012/02/14 09:38
Case 1,Round Grinding,Machine 3,2012/02/14 13:37:00.000,ID4445,10,2012/02/14 13:37
Case 1,Round Grinding,Machine 3,2012/02/14 15:27:00.000,ID4445,11,2012/02/14 15:27
Case 10,Turning & Milling,Machine 9,2012/01/17 11:05:00.000,ID3846,16,2012/01/17 11:05
Case 10,Turning & Milling,Machine 9,2012/01/17 20:01:00.000,ID4132,18,2012/01/17 20:01
Case 10,Turning & Milling,Machine 9,2012/01/17 23:43:00.000,ID4132,19,2012/01/17 23:43
Case 10,Turning & Milling,Machine 9,2012/01/18 06:32:00.000,ID4794,20,2012/01/18 06:32
Case 10,Turning & Milling,Machine 9,2012/01/18 07:24:00.000,ID3846,21,2012/01/18 07:24
Case 10,Turning & Milling,Machine 9,2012/01/18 17:55:00.000,ID4132,22,2012/01/18 17:55
Case 10,Turning & Milling,Machine 9,2012/01/18 20:04:00.000,ID4132,23,2012/01/18 20:04
Case 10,Turning & Milling,Machine 9,2012/01/19 06:29:00.000,ID4794,24,2012/01/19 06:29
Case 10,Turning & Milling,Machine 9,2012/01/19 18:09:00.000,ID4132,25,2012/01/19 18:09
Case 10,Turning & Milling,Machine 9,2012/01/19 20:08:00.000,ID4132,26,2012/01/19 20:08
Case 10,Turning & Milling,Machine 9,2012/01/20 05:10:00.000,ID4794,27,2012/01/20 05:10
Case 10,Turning & Milling,Machine 9,2012/01/22 06:34:00.000,ID4641,28,2012/01/22 06:34
Case 10,Turning & Milling,Machine 9,2012/01/22 07:13:00.000,ID3846,29,2012/01/22 07:13
Case 10,Turning & Milling,Machine 9,2012/01/22 17:47:00.000,ID3846,30,2012/01/22 17:47
Case 10,Laser Marking,Machine 7,2012/01/25 10:57:00.000,ID4794,32,2012/01/25 10:57
Case 10,Laser Marking,Machine 7,2012/01/25 12:54:00.000,ID4882,33,2012/01/25 12:54
Case 10,Laser Marking,Machine 7,2012/01/25 14:09:00.000,ID4882,34,2012/01/25 14:09
Case 10,Flat Grinding,Machine 11,2012/01/27 13:00:00.000,ID0998,35,2012/01/27 13:00
Case 10,Flat Grinding,Machine 11,2012/01/29 15:06:00.000,ID0998,36,2012/01/29 15:06
Case 10,Flat Grinding,Machine 11,2012/01/30 16:59:00.000,ID0998,37,2012/01/30 16:59
Case 100,Turning & Milling,Machine 8,2012/02/20 17:57:00.000,ID4219,40,2012/02/20 17:57
Case 100,Turning & Milling,Machine 8,2012/02/21 02:57:00.000,ID4529,41,2012/02/21 02:57
Case 100,Turning & Milling,Machine 8,2012/02/21 11:03:00.000,ID4219,42,2012/02/21 11:03
Case 100,Turning & Milling,Machine 8,2012/02/21 12:08:00.000,ID4219,43,2012/02/21 12:08
Case 100,Laser Marking,Machine 7,2012/03/11 11:06:00.000,ID0998,45,2012/03/11 11:06
Case 100,Flat Grinding,Machine 11,2012/03/11 12:45:00.000,ID0998,46,2012/03/11 12:45
Case 100,Lapping,Machine 1,2012/03/11 13:18:00.000,ID4882,47,2012/03/11 13:18
Case 100,Round Grinding,Machine 3,2012/03/13 10:41:00.000,ID4445,48,2012/03/13 10:41
Case 100,Round Grinding,Machine 3,2012/03/13 15:12:00.000,ID4445,49,2012/03/13 15:12
Case 101,Turning & Milling,Machine 8,2012/03/13 23:03:00.000,ID4219,55,2012/03/13 23:03
Case 101,Turning & Milling,Machine 8,2012/03/13 23:49:00.000,ID4219,56,2012/03/13 23:49
Case 101,Turning & Milling,Machine 8,2012/03/14 01:06:00.000,ID4219,57,2012/03/14 01:06
Case 101,Turning & Milling,Machine 8,2012/03/14 06:28:00.000,ID4794,58,2012/03/14 06:28
Case 101,Turning & Milling,Machine 8,2012/03/14 07:48:00.000,ID0997,59,2012/03/14 07:48
Case 101,Turning & Milling,Machine 8,2012/03/14 11:10:00.000,ID0997,60,2012/03/14 11:10
Case 101,Turning & Milling,Machine 8,2012/03/14 13:30:00.000,ID0997,61,2012/03/14 13:30
Case 101,Flat Grinding,Machine 11,2012/03/15 10:55:00.000,ID0998,63,2012/03/15 10:55
Case 101,Lapping,Machine 1,2012/03/23 12:40:00.000,ID0998,64,2012/03/23 12:40
Case 101,Round Grinding,Machine 12,2012/03/24 23:45:00.000,ID4528,65,2012/03/24 23:45
Case 101,Round Grinding,Machine 12,2012/03/25 06:45:00.000,ID4528,66,2012/03/25 06:45
Case 101,Lapping,Machine 1,2012/03/25 11:00:00.000,ID0998,68,2012/03/25 11:00
Case 101,Laser Marking,Machine 7,2012/03/25 11:29:00.000,ID0998,69,2012/03/25 11:29
Case 102,Turning & Milling,Machine 8,2012/02/27 21:09:00.000,ID4219,71,2012/02/27 21:09
Case 102,Turning & Milling,Machine 8,2012/02/28 01:23:00.000,ID4219,72,2012/02/28 01:23
Case 102,Turning & Milling,Machine 8,2012/02/28 13:26:00.000,ID0997,73,2012/02/28 13:26
Case 102,Turning & Milling,Machine 8,2012/02/28 16:12:00.000,ID0997,74,2012/02/28 16:12
Case 102,Turning & Milling,Machine 8,2012/02/28 17:56:00.000,ID0997,76,2012/02/28 17:56
Case 102,Turning & Milling,Machine 8,2012/02/29 01:29:00.000,ID4219,77,2012/02/29 01:29
Case 102,Turning & Milling,Machine 8,2012/02/29 04:31:00.000,ID4794,78,2012/02/29 04:31
Case 102,Turning & Milling,Machine 8,2012/02/29 11:05:00.000,ID0997,79,2012/02/29 11:05
Case 102,Turning & Milling,Machine 8,2012/02/29 16:00:00.000,ID0997,80,2012/02/29 16:00
Case 102,Turning & Milling,Machine 8,2012/02/29 17:20:00.000,ID0997,82,2012/02/29 17:20
Case 102,Turning & Milling,Machine 8,2012/02/29 17:48:00.000,ID0997,84,2012/02/29 17:48
Case 102,Turning & Milling,Machine 8,2012/03/01 00:11:00.000,ID4219,85,2012/03/01 00:11
Case 102,Laser Marking,Machine 7,2012/03/08 14:41:00.000,ID0998,88,2012/03/08 14:41
Case 102,Lapping,Machine 1,2012/03/09 01:15:00.000,ID4882,89,2012/03/09 01:15
Case 102,Lapping,Machine 1,2012/03/11 11:04:00.000,ID0998,90,2012/03/11 11:04
Case 102,Round Grinding,Machine 3,2012/03/12 08:09:00.000,ID4445,93,2012/03/12 08:09
Case 102,Round Grinding,Machine 3,2012/03/12 08:04:00.000,ID4445,95,2012/03/12 08:04
Case 102,Round Grinding,Machine 3,2012/03/12 10:58:00.000,ID4445,96,2012/03/12 10:58
Case 103,Turning & Milling,Machine 8,2012/03/06 10:18:00.000,ID4219,101,2012/03/06 10:18
Case 103,Turning & Milling,Machine 8,2012/03/08 06:51:00.000,ID0997,102,2012/03/08 06:51
Case 103,Turning & Milling,Machine 8,2012/03/08 16:38:00.000,ID4219,103,2012/03/08 16:38
Case 103,Turning & Milling,Machine 8,2012/03/09 04:35:00.000,ID0997,104,2012/03/09 04:35
Case 103,Turning & Milling,Machine 8,2012/03/09 07:27:00.000,ID0997,105,2012/03/09 07:27
Case 103,Turning & Milling,Machine 8,2012/03/09 10:27:00.000,ID4219,107,2012/03/09 10:27
Case 103,Turning & Milling,Machine 8,2012/03/11 10:37:00.000,ID0997,109,2012/03/11 10:37
Case 103,Turning & Milling,Machine 8,2012/03/11 11:48:00.000,ID0997,110,2012/03/11 11:48
Case 103,Turning & Milling,Machine 8,2012/03/11 16:09:00.000,ID0997,111,2012/03/11 16:09
Case 103,Turning & Milling,Machine 8,2012/03/11 18:35:00.000,ID4219,112,2012/03/11 18:35
Case 103,Laser Marking,Machine 7,2012/03/13 10:46:00.000,ID4355,114,2012/03/13 10:46
Case 103,Flat Grinding,Machine 11,2012/03/13 14:04:00.000,ID0998,115,2012/03/13 14:04
Case 104,Turning & Milling,Machine 5,2012/03/20 02:26:00.000,ID4529,120,2012/03/20 02:26
Case 104,Turning & Milling,Machine 5,2012/03/20 06:41:00.000,ID4529,121,2012/03/20 06:41
Case 104,Turning & Milling,Machine 5,2012/03/20 11:07:00.000,ID4429,122,2012/03/20 11:07
Case 104,Laser Marking,Machine 7,2012/03/21 09:49:00.000,ID4718,125,2012/03/21 09:49
Case 105,Turning & Milling,Machine 4,2012/03/21 06:34:00.000,ID4167,126,2012/03/21 06:34
Case 105,Turning & Milling,Machine 4,2012/03/21 10:31:00.000,ID4932,127,2012/03/21 10:31
Case 106,Turning & Milling,Machine 8,2012/03/15 15:44:00.000,ID0997,128,2012/03/15 15:44
Case 106,Turning & Milling,Machine 8,2012/03/15 20:38:00.000,ID4219,129,2012/03/15 20:38
Case 106,Laser Marking,Machine 7,2012/03/19 10:51:00.000,ID0998,131,2012/03/19 10:51
Case 106,Flat Grinding,Machine 11,2012/03/19 15:20:00.000,ID4882,132,2012/03/19 15:20
Case 107,Turning & Milling,Machine 10,2012/03/30 11:47:00.000,ID4132,136,2012/03/30 11:47
Case 108,Turning & Milling,Machine 4,2012/02/27 06:55:00.000,ID4794,137,2012/02/27 06:55
Case 108,Turning & Milling,Machine 4,2012/02/27 09:13:00.000,ID4529,138,2012/02/27 09:13
Case 108,Turning & Milling,Machine 4,2012/02/27 12:38:00.000,ID4529,140,2012/02/27 12:38
Case 108,Laser Marking,Machine 7,2012/02/28 19:07:00.000,ID0998,142,2012/02/28 19:07
Case 108,Flat Grinding,Machine 11,2012/02/29 01:15:00.000,ID4528,143,2012/02/29 01:15
Case 108,Flat Grinding,Machine 11,2012/02/29 23:04:00.000,ID0420,144,2012/02/29 23:04
Case 108,Lapping,Machine 1,2012/03/01 03:50:00.000,ID0420,145,2012/03/01 03:50
Case 108,Lapping,Machine 1,2012/03/01 03:28:00.000,ID0420,146,2012/03/01 03:28
Case 108,Round Grinding,Machine 3,2012/03/07 11:16:00.000,ID4385,147,2012/03/07 11:16
Case 108,Round Grinding,Machine 3,2012/03/07 14:10:00.000,ID4385,148,2012/03/07 14:10
Case 108,Round Grinding,Machine 3,2012/03/07 15:56:00.000,ID0420,149,2012/03/07 15:56
Case 108,Round Grinding,Machine 3,2012/03/07 19:30:00.000,ID4872,150,2012/03/07 19:30
Case 109,Turning & Milling,Machine 4,2012/03/04 18:01:00.000,ID4932,154,2012/03/04 18:01
Case 109,Turning & Milling,Machine 4,2012/03/04 23:53:00.000,ID4167,155,2012/03/04 23:53
Case 109,Turning & Milling,Machine 4,2012/03/05 01:08:00.000,ID4529,157,2012/03/05 01:08
Case 109,Turning & Milling,Machine 4,2012/03/05 06:43:00.000,ID4529,158,2012/03/05 06:43
Case 109,Turning & Milling,Machine 4,2012/03/05 09:41:00.000,ID4932,159,2012/03/05 09:41
Case 109,Laser Marking,Machine 7,2012/03/15 11:26:00.000,ID0998,162,2012/03/15 11:26
Case 109,Round Grinding,Machine 2,2012/03/21 06:22:00.000,ID4355,163,2012/03/21 06:22
Case 109,Round Grinding,Machine 2,2012/03/21 06:49:00.000,ID4355,164,2012/03/21 06:49
Case 109,Round Grinding,Machine 2,2012/03/21 12:08:00.000,ID4385,165,2012/03/21 12:08
Case 109,Round Grinding,Machine 2,2012/03/23 01:33:00.000,ID4445,166,2012/03/23 01:33
Case 109,Round Grinding,Machine 2,2012/03/23 04:08:00.000,ID4445,167,2012/03/23 04:08
Case 11,Turning & Milling,Machine 10,2012/01/15 23:40:00.000,ID4132,170,2012/01/15 23:40
Case 11,Turning & Milling,Machine 10,2012/01/16 09:49:00.000,ID4641,171,2012/01/16 09:49
Case 11,Turning & Milling,Machine 10,2012/01/16 16:22:00.000,ID4641,173,2012/01/16 16:22
Case 11,Turning & Milling,Machine 10,2012/01/16 23:38:00.000,ID4132,174,2012/01/16 23:38
Case 11,Turning & Milling,Machine 10,2012/01/17 06:37:00.000,ID4932,175,2012/01/17 06:37
Case 11,Turning & Milling,Machine 10,2012/01/17 12:01:00.000,ID4641,176,2012/01/17 12:01
Case 11,Turning & Milling,Machine 10,2012/01/18 09:50:00.000,ID4641,178,2012/01/18 09:50
Case 11,Turning & Milling,Machine 10,2012/01/18 09:56:00.000,ID4641,179,2012/01/18 09:56
Case 11,Turning & Milling,Machine 10,2012/01/18 15:32:00.000,ID4641,180,2012/01/18 15:32
Case 11,Turning & Milling,Machine 9,2012/01/19 09:00:00.000,ID4641,182,2012/01/19 09:00
Case 11,Turning & Milling,Machine 10,2012/01/19 16:00:00.000,ID4641,183,2012/01/19 16:00
Case 11,Turning & Milling,Machine 10,2012/01/19 19:21:00.000,ID4132,184,2012/01/19 19:21
Case 11,Laser Marking,Machine 7,2012/01/22 15:33:00.000,ID4882,185,2012/01/22 15:33
Case 11,Laser Marking,Machine 7,2012/01/24 16:06:00.000,ID4882,187,2012/01/24 16:06
Case 110,Turning & Milling,Machine 6,2012/03/01 06:35:00.000,ID4794,191,2012/03/01 06:35
Case 110,Turning & Milling,Machine 6,2012/03/01 12:36:00.000,ID4529,192,2012/03/01 12:36
Case 110,Turning & Milling,Machine 6,2012/03/01 15:46:00.000,ID4529,194,2012/03/01 15:46
Case 110,Turning & Milling,Machine 6,2012/03/02 06:27:00.000,ID4794,195,2012/03/02 06:27
Case 110,Turning & Milling,Machine 6,2012/03/02 12:47:00.000,ID4167,196,2012/03/02 12:47
Case 110,Turning & Milling,Machine 6,2012/03/04 00:26:00.000,ID4529,197,2012/03/04 00:26
Case 110,Turning & Milling,Machine 6,2012/03/04 06:46:00.000,ID4641,198,2012/03/04 06:46
Case 110,Turning & Milling,Machine 6,2012/03/06 07:29:00.000,ID4794,201,2012/03/06 07:29
Case 110,Turning & Milling,Machine 6,2012/03/08 04:17:00.000,ID4529,202,2012/03/08 04:17
Case 110,Turning & Milling,Machine 6,2012/03/08 11:37:00.000,ID4794,203,2012/03/08 11:37
Case 110,Turning & Milling,Machine 6,2012/03/08 15:52:00.000,ID4794,204,2012/03/08 15:52
Case 110,Turning & Milling,Machine 6,2012/03/08 23:40:00.000,ID4167,205,2012/03/08 23:40
Case 110,Turning & Milling,Machine 6,2012/03/09 06:51:00.000,ID4529,206,2012/03/09 06:51
Case 110,Turning & Milling,Machine 6,2012/03/09 12:27:00.000,ID4429,208,2012/03/09 12:27
Case 110,Turning & Milling,Machine 6,2012/03/11 10:54:00.000,ID4932,209,2012/03/11 10:54
Case 110,Turning & Milling,Machine 6,2012/03/11 06:35:00.000,ID4794,210,2012/03/11 06:35
Case 110,Turning & Milling,Machine 6,2012/03/11 16:09:00.000,ID4529,211,2012/03/11 16:09
Case 110,Turning & Milling,Machine 6,2012/03/11 20:12:00.000,ID4429,214,2012/03/11 20:12
Case 110,Turning & Milling,Machine 6,2012/03/16 06:47:00.000,ID4794,218,2012/03/16 06:47
Case 110,Turning & Milling,Machine 6,2012/03/16 12:49:00.000,ID4529,220,2012/03/16 12:49
Case 110,Turning & Milling,Machine 6,2012/03/18 11:30:00.000,ID4932,221,2012/03/18 11:30
Case 110,Turning & Milling,Machine 6,2012/03/18 02:26:00.000,ID4641,222,2012/03/18 02:26
Case 110,Laser Marking,Machine 7,2012/03/19 16:06:00.000,ID0998,223,2012/03/19 16:06
Case 110,Flat Grinding,Machine 11,2012/03/19 17:43:00.000,ID4528,224,2012/03/19 17:43
Case 110,Laser Marking,Machine 7,2012/03/19 22:32:00.000,ID0997,225,2012/03/19 22:32
Case 110,Flat Grinding,Machine 11,2012/03/20 12:13:00.000,ID4528,227,2012/03/20 12:13
Case 110,Lapping,Machine 1,2012/03/20 11:58:00.000,ID0998,228,2012/03/20 11:58
Case 110,Turning & Milling,Machine 6,2012/03/22 11:51:00.000,ID4794,231,2012/03/22 11:51
Case 110,Turning & Milling,Machine 6,2012/03/22 13:30:00.000,ID4794,233,2012/03/22 13:30
Case 110,Lapping,Machine 1,2012/03/22 14:33:00.000,ID4718,234,2012/03/22 14:33
Case 110,Lapping,Machine 1,2012/03/22 16:22:00.000,ID0998,235,2012/03/22 16:22
Case 110,Flat Grinding,Machine 11,2012/03/22 17:37:00.000,ID0998,236,2012/03/22 17:37
Case 110,Turning & Milling,Machine 6,2012/03/22 23:30:00.000,ID4794,237,2012/03/22 23:30
Case 110,Lapping,Machine 1,2012/03/23 01:15:00.000,ID4882,238,2012/03/23 01:15
Case 110,Turning & Milling,Machine 6,2012/03/23 12:42:00.000,ID4794,240,2012/03/23 12:42
Case 110,Lapping,Machine 1,2012/03/23 11:39:00.000,ID0998,241,2012/03/23 11:39
Case 110,Turning & Milling,Machine 6,2012/03/24 07:00:00.000,ID4167,242,2012/03/24 07:00
Case 110,Turning & Milling,Machine 6,2012/03/25 12:58:00.000,ID4932,243,2012/03/25 12:58
Case 110,Turning & Milling,Machine 6,2012/03/25 03:35:00.000,ID4794,244,2012/03/25 03:35
Case 110,Lapping,Machine 1,2012/03/26 01:15:00.000,ID4882,245,2012/03/26 01:15
Case 110,Laser Marking,Machine 7,2012/03/26 07:16:00.000,ID4882,246,2012/03/26 07:16
Case 110,Lapping,Machine 1,2012/03/27 01:15:00.000,ID4882,247,2012/03/27 01:15
Case 110,Round Grinding,Machine 3,2012/03/28 13:55:00.000,ID4445,249,2012/03/28 13:55
Case 110,Round Grinding,Machine 3,2012/03/28 15:57:00.000,ID4872,250,2012/03/28 15:57
Case 110,Round Grinding,Machine 3,2012/03/28 20:12:00.000,ID4528,251,2012/03/28 20:12
Case 110,Round Grinding,Machine 3,2012/03/29 05:26:00.000,ID0420,252,2012/03/29 05:26
Case 110,Round Grinding,Machine 3,2012/03/29 06:50:00.000,ID4445,255,2012/03/29 06:50
Case 110,Round Grinding,Machine 3,2012/03/29 09:58:00.000,ID4872,256,2012/03/29 09:58
Case 110,Flat Grinding,Machine 11,2012/03/29 08:20:00.000,ID0998,257,2012/03/29 08:20
Case 110,Lapping,Machine 1,2012/03/29 09:36:00.000,ID0998,258,2012/03/29 09:36
Case 110,Round Grinding,Machine 3,2012/03/29 15:43:00.000,ID4445,260,2012/03/29 15:43
Case 110,Round Grinding,Machine 3,2012/03/29 17:53:00.000,ID4528,261,2012/03/29 17:53
Case 111,Turning & Milling,Machine 4,2012/03/22 17:50:00.000,ID4932,271,2012/03/22 17:50
Case 111,Turning & Milling,Machine 4,2012/03/23 07:00:00.000,ID4167,272,2012/03/23 07:00
Case 111,Turning & Milling,Machine 4,2012/03/23 12:41:00.000,ID4794,273,2012/03/23 12:41
Case 111,Turning & Milling,Machine 4,2012/03/24 15:52:00.000,ID4932,276,2012/03/24 15:52
Case 111,Turning & Milling,Machine 4,2012/03/25 06:45:00.000,ID4794,277,2012/03/25 06:45
Case 111,Turning & Milling,Machine 4,2012/03/25 15:32:00.000,ID4167,278,2012/03/25 15:32
Case 111,Turning & Milling,Machine 4,2012/03/26 06:43:00.000,ID4932,279,2012/03/26 06:43
Case 111,Laser Marking,Machine 7,2012/03/26 16:00:00.000,ID0998,281,2012/03/26 16:00
Case 111,Laser Marking,Machine 7,2012/03/26 17:43:00.000,ID4882,282,2012/03/26 17:43
Case 111,Turning & Milling,Machine 4,2012/03/27 07:52:00.000,ID4167,283,2012/03/27 07:52
Case 111,Turning & Milling,Machine 4,2012/03/28 06:56:00.000,ID4167,286,2012/03/28 06:56
Case 111,Laser Marking,Machine 7,2012/03/27 13:26:00.000,ID0998,287,2012/03/27 13:26
Case 112,Turning & Milling,Machine 9,2012/03/08 06:51:00.000,ID4641,288,2012/03/08 06:51
Case 112,Turning & Milling,Machine 9,2012/03/13 17:48:00.000,ID3846,289,2012/03/13 17:48
Case 112,Turning & Milling,Machine 9,2012/03/13 23:10:00.000,ID4132,290,2012/03/13 23:10
Case 112,Turning & Milling,Machine 9,2012/03/14 09:02:00.000,ID3846,292,2012/03/14 09:02
Case 112,Turning & Milling,Machine 9,2012/03/14 13:21:00.000,ID3846,293,2012/03/14 13:21
Case 112,Turning & Milling,Machine 9,2012/03/14 17:51:00.000,ID4132,294,2012/03/14 17:51
Case 112,Turning & Milling,Machine 9,2012/03/15 06:48:00.000,ID4794,295,2012/03/15 06:48
Case 112,Turning & Milling,Machine 9,2012/03/15 09:43:00.000,ID3846,296,2012/03/15 09:43
Case 112,Turning & Milling,Machine 9,2012/03/15 17:22:00.000,ID3846,297,2012/03/15 17:22
Case 112,Turning & Milling,Machine 9,2012/03/16 06:47:00.000,ID4794,298,2012/03/16 06:47
Case 112,Turning & Milling,Machine 9,2012/03/18 06:50:00.000,ID4641,299,2012/03/18 06:50
Case 112,Laser Marking,Machine 7,2012/03/18 14:55:00.000,ID4718,302,2012/03/18 14:55
Case 112,Lapping,Machine 1,2012/03/18 18:10:00.000,ID0998,303,2012/03/18 18:10
Case 112,Turning & Milling,Machine 10,2012/03/19 00:19:00.000,ID4641,304,2012/03/19 00:19
Case 112,Turning & Milling,Machine 10,2012/03/19 03:10:00.000,ID4641,305,2012/03/19 03:10
Case 112,Turning & Milling,Machine 10,2012/03/19 06:46:00.000,ID4529,306,2012/03/19 06:46
Case 112,Turning & Milling,Machine 10,2012/03/19 16:39:00.000,ID4718,307,2012/03/19 16:39
Case 112,Turning & Milling,Machine 10,2012/03/20 06:48:00.000,ID4641,308,2012/03/20 06:48
Case 112,Turning & Milling,Machine 10,2012/03/20 17:52:00.000,ID3846,309,2012/03/20 17:52
Case 112,Turning & Milling,Machine 10,2012/03/21 03:29:00.000,ID4641,312,2012/03/21 03:29
Case 112,Laser Marking,Machine 7,2012/03/21 12:32:00.000,ID4718,316,2012/03/21 12:32
Case 112,Turning & Milling,Machine 10,2012/03/21 17:43:00.000,ID4132,317,2012/03/21 17:43
Case 112,Turning & Milling,Machine 10,2012/03/22 05:32:00.000,ID4641,318,2012/03/22 05:32
Case 112,Lapping,Machine 1,2012/03/22 14:33:00.000,ID4718,321,2012/03/22 14:33
Case 113,Turning & Milling,Machine 5,2012/03/15 06:49:00.000,ID4932,325,2012/03/15 06:49
Case 113,Turning & Milling,Machine 5,2012/03/15 15:56:00.000,ID4529,326,2012/03/15 15:56
Case 113,Laser Marking,Machine 7,2012/03/16 11:39:00.000,ID0998,328,2012/03/16 11:39
Case 114,Turning & Milling,Machine 6,2012/02/29 06:53:00.000,ID4794,329,2012/02/29 06:53
Case 114,Turning & Milling,Machine 6,2012/02/29 08:01:00.000,ID4718,331,2012/02/29 08:01
Case 114,Turning & Milling,Machine 6,2012/03/01 03:48:00.000,ID4794,332,2012/03/01 03:48
Case 115,Turning & Milling,Machine 4,2012/03/05 16:01:00.000,ID4932,336,2012/03/05 16:01
Case 115,Turning & Milling,Machine 4,2012/03/06 06:29:00.000,ID4529,337,2012/03/06 06:29
Case 115,Turning & Milling,Machine 4,2012/03/06 08:35:00.000,ID4932,338,2012/03/06 08:35
Case 115,Turning & Milling,Machine 4,2012/03/06 09:48:00.000,ID4932,339,2012/03/06 09:48
Case 115,Turning & Milling,Machine 4,2012/03/06 13:48:00.000,ID4932,340,2012/03/06 13:48
Case 115,Flat Grinding,Machine 11,2012/03/08 15:52:00.000,ID4882,343,2012/03/08 15:52
Case 115,Flat Grinding,Machine 11,2012/03/09 01:15:00.000,ID4882,344,2012/03/09 01:15
Case 115,Flat Grinding,Machine 11,2012/03/09 10:17:00.000,ID4882,345,2012/03/09 10:17
Case 115,Lapping,Machine 1,2012/03/11 11:14:00.000,ID4882,347,2012/03/11 11:14
Case 115,Round Grinding,Machine 2,2012/03/11 22:49:00.000,ID4385,348,2012/03/11 22:49
Case 115,Round Grinding,Machine 2,2012/03/11 23:50:00.000,ID4385,349,2012/03/11 23:50
Case 115,Round Grinding,Machine 2,2012/03/12 07:00:00.000,ID0420,350,2012/03/12 07:00
Case 115,Round Grinding,Machine 2,2012/03/12 15:45:00.000,ID4355,352,2012/03/12 15:45
Case 115,Round Grinding,Machine 2,2012/03/12 17:05:00.000,ID4385,353,2012/03/12 17:05
Case 115,Round Grinding,Machine 2,2012/03/12 18:16:00.000,ID4385,354,2012/03/12 18:16
Case 115,Laser Marking,Machine 7,2012/03/21 14:24:00.000,ID4718,356,2012/03/21 14:24
Case 118,Turning & Milling,Machine 6,2012/03/25 01:15:00.000,ID4429,374,2012/03/25 01:15
Case 118,Turning & Milling,Machine 6,2012/03/28 22:11:00.000,ID4794,375,2012/03/28 22:11
Case 118,Turning & Milling,Machine 6,2012/03/29 01:29:00.000,ID4794,376,2012/03/29 01:29
Case 119,Turning & Milling,Machine 10,2012/03/20 15:57:00.000,ID4132,378,2012/03/20 15:57
Case 119,Turning & Milling,Machine 10,2012/03/21 15:30:00.000,ID4132,379,2012/03/21 15:30
Case 119,Turning & Milling,Machine 10,2012/03/22 17:48:00.000,ID4132,380,2012/03/22 17:48
Case 119,Turning & Milling,Machine 10,2012/03/23 06:51:00.000,ID4641,381,2012/03/23 06:51
Case 119,Turning & Milling,Machine 10,2012/03/25 17:45:00.000,ID4132,382,2012/03/25 17:45
